Crack_Length_mm,KI,KII,KIII
0.5,1.4046,1.3982,1.2479
0.5,1.3998,1.3962,1.2463
0.5,1.3949,1.3942,1.2447
0.5,1.3885,1.4043,1.2557
0.5,1.3821,1.4145,1.2668
0.5,1.3868,1.4248,1.2682
0.5,1.3914,1.4352,1.2696
0.5,1.4157,1.4291,1.2446
0.5,1.44,1.4231,1.2195
0.5,1.3984,1.3762,1.2107
0.5,1.3567,1.3293,1.202
0.5,1.3906,1.3325,1.2597
0.5,1.4244,1.3357,1.3174
1,1.9896,1.9683,1.7602
1,1.9827,1.9654,1.7579
1,1.9758,1.9625,1.7557
1,1.9668,1.9768,1.7712
1,1.9577,1.9911,1.7868
1,1.9643,2.0057,1.7888
1,1.9709,2.0202,1.7909
1,2.0053,2.0118,1.7555
1,2.0397,2.0033,1.7201
1,1.9807,1.9373,1.7078
1,1.9217,1.8712,1.6955
1,1.9697,1.8757,1.7769
1,2.0176,1.8803,1.8583
1.5,2.4467,2.4017,2.1537
1.5,2.4382,2.3983,2.1509
1.5,2.4298,2.3948,2.1481
1.5,2.4187,2.4122,2.1671
1.5,2.4075,2.4296,2.1862
1.5,2.4156,2.4474,2.1887
1.5,2.4237,2.4651,2.1912
1.5,2.466,2.4548,2.1479
1.5,2.5083,2.4445,2.1046
1.5,2.4358,2.3639,2.0895
1.5,2.3633,2.2833,2.0744
1.5,2.4222,2.2889,2.174
1.5,2.4812,2.2944,2.2736
2,2.8433,2.7655,2.4881
2,2.8335,2.7615,2.4849
2,2.8237,2.7575,2.4817
2,2.8107,2.7775,2.5037
2,2.7978,2.7976,2.5257
2,2.8072,2.818,2.5286
2,2.8165,2.8385,2.5314
2,2.8657,2.8266,2.4814
2,2.9149,2.8147,2.4314
2,2.8306,2.7219,2.414
2,2.7463,2.6291,2.3966
2,2.8148,2.6355,2.5117
2,2.8834,2.6419,2.6267
2.5,3.2059,3.0856,2.7873
2.5,3.1948,3.0811,2.7836
2.5,3.1838,3.0766,2.78
2.5,3.1692,3.099,2.8047
2.5,3.1546,3.1214,2.8293
2.5,3.1652,3.1442,2.8326
2.5,3.1757,3.167,2.8358
2.5,3.2312,3.1538,2.7797
